Brand,Price,Horsepower,Fuel Efficiency,Encoded Brand,scaled horsepower,scaled fuel efficiency,scaled brand,Performance Index
Brand C,46162,417,25.6,6,0.7925,0.624,0.625,0.006489753
Brand X,77816,200,12.6,8,0.25,0.104,0.875,0.001847692
Brand E,99746,417,12.6,2,0.7925,0.104,0.125,0.002964329
Brand C,34281,397,33.9,6,0.7425,0.956,0.625,0.008403197
Brand B,49012,250,28.1,5,0.375,0.724,0.5,0.003742553
Brand X,71598,372,19.7,8,0.68,0.388,0.875,0.003719517
Brand B,49863,449,24.4,5,0.8725,0.576,0.5,0.006450073
Brand W,91999,476,25.2,1,0.94,0.608,0,0.003703953
Brand B,55450,186,32.5,5,0.215,0.9,0.5,0.002523895
Brand A,38366,233,13.9,4,0.3325,0.156,0.375,0.00435985
Brand C,69103,132,15.9,6,0.08,0.236,0.625,0.001406162
Brand C,31700,191,32,6,0.2275,0.88,0.625,0.004520505
Brand D,70482,474,33,9,0.935,0.92,1,0.004848046
Brand W,72835,244,31.5,1,0.36,0.86,0,0.002474772
Brand W,35571,354,25.5,1,0.635,0.62,0,0.007181412
Brand X,37908,205,14.4,8,0.2625,0.176,0.875,0.003899441
Brand A,49095,197,16.6,4,0.2425,0.264,0.375,0.002910276
Brand A,98767,330,10.3,4,0.575,0.012,0.375,0.002370124
Brand W,33667,283,27.7,1,0.4575,0.708,0,0.006130929
Brand C,47868,154,14.9,6,0.135,0.196,0.625,0.002345408
Brand Y,32684,222,28.9,3,0.305,0.756,0.25,0.005019887
Brand Z,95983,271,19.6,7,0.4275,0.384,0.75,0.002037653
Brand X,89267,204,24.9,8,0.26,0.596,0.875,0.001683377
Brand X,33850,408,30.5,8,0.77,0.82,0.875,0.008707533
Brand W,84671,152,16.5,1,0.13,0.26,0,0.00131509
Brand W,54081,212,18,1,0.28,0.32,0,0.002843882
Brand C,57404,357,34.2,6,0.6425,0.968,0.625,0.004532088
Brand Z,76085,477,15.8,7,0.9425,0.232,0.75,0.004450812
Brand E,94629,414,25.3,2,0.785,0.612,0.125,0.003142694
Brand C,39722,415,10.2,6,0.7875,0.008,0.625,0.007390363
Brand Z,75163,176,17.9,7,0.19,0.316,0.75,0.001710549
Brand A,82723,175,25.7,4,0.1875,0.628,0.375,0.001574048
Brand D,69648,242,34,9,0.355,0.96,1,0.002578681
Brand B,36457,119,31.3,5,0.0475,0.852,0.5,0.002542447
Brand D,73006,175,24.4,9,0.1875,0.576,1,0.00177821
Brand E,58809,487,18.4,2,0.9675,0.336,0.125,0.005890595
Brand C,60421,472,30.8,6,0.93,0.832,0.625,0.005621224
Brand B,60815,343,20.1,5,0.6075,0.404,0.5,0.004047192
Brand Y,82142,423,21.5,3,0.8075,0.46,0.25,0.003683256
Brand Y,99304,449,25.8,3,0.8725,0.632,0.25,0.003242971
Brand C,67139,196,16.9,6,0.24,0.276,0.625,0.002119037
Brand X,72244,209,17,8,0.2725,0.28,0.875,0.002095676
Brand D,81681,137,18.5,9,0.0925,0.34,1,0.001242027
Brand X,96377,102,12.1,8,0.005,0.084,0.875,0.000778505
Brand X,96461,214,28.5,8,0.285,0.74,0.875,0.001641596
Brand W,49762,128,34,1,0.07,0.96,0,0.002005546
Brand E,34119,453,17.6,2,0.8825,0.304,0.125,0.009448694
Brand A,48537,181,23.4,4,0.2025,0.536,0.375,0.002755012
Brand X,94739,381,22.8,8,0.7025,0.512,0.875,0.002887301
Brand Y,41256,478,20.8,3,0.945,0.432,0.25,0.008261586
Brand D,80533,220,28.3,9,0.3,0.732,1,0.002017682
Brand D,71517,393,34.2,9,0.7325,0.968,1,0.0039901
Brand A,73334,406,14.3,4,0.765,0.172,0.375,0.003933919
Brand W,50421,262,12.3,1,0.405,0.092,0,0.003710557
Brand B,48526,442,13.6,5,0.855,0.144,0.5,0.006460042
Brand Y,72626,440,21.1,3,0.85,0.444,0.25,0.004328064
Brand Y,60759,138,29.2,3,0.095,0.768,0.25,0.001734064
Brand A,33431,327,33,4,0.5675,0.92,0.375,0.007143071
Brand D,64870,259,31.7,9,0.3975,0.868,1,0.002941421
Brand B,70915,375,29.4,5,0.6875,0.776,0.5,0.003825989
Brand D,35527,203,34,9,0.2575,0.96,1,0.00428688
Brand A,38953,121,25.9,4,0.0525,0.636,0.375,0.002373886
Brand W,49106,393,12.9,1,0.7325,0.116,0,0.005680976
Brand W,50976,350,29.7,1,0.625,0.788,0,0.004980971
Brand W,88322,371,31.7,1,0.6775,0.868,0,0.003048051
Brand Y,99437,364,13.1,3,0.66,0.124,0.25,0.002601949
Brand W,66089,133,15.1,1,0.0825,0.204,0,0.00147725
Brand B,51585,372,17.5,5,0.68,0.3,0.5,0.005149753
Brand Z,61643,206,16.2,7,0.265,0.248,0.75,0.002418117
Brand B,40277,264,26.3,5,0.41,0.652,0.5,0.00478412
Brand E,49230,261,23.2,2,0.4025,0.528,0.125,0.003852529
Brand D,99979,369,28.2,9,0.6725,0.728,1,0.00266816
Brand A,52740,302,29.1,4,0.505,0.764,0.375,0.004173872
Brand D,95643,160,11.1,9,0.15,0.044,1,0.001205838
Brand E,71590,349,20.9,2,0.6225,0.436,0.125,0.00350007
Brand D,33755,249,34.8,9,0.3725,0.992,1,0.005472967
Brand Y,41844,130,11.7,3,0.075,0.068,0.25,0.002258627
Brand Y,80517,167,18.2,3,0.1675,0.328,0.25,0.001519679
Brand W,49461,301,13.7,1,0.5025,0.148,0,0.004343018
Brand E,30667,239,15,2,0.3475,0.2,0.125,0.005602113
Brand A,91753,196,25.5,4,0.24,0.62,0.375,0.001578695
Brand B,78913,396,26.5,5,0.74,0.66,0.5,0.003613473
Brand C,79572,455,27,6,0.8875,0.68,0.625,0.004104459
Brand Y,82088,321,32.7,3,0.5525,0.908,0.25,0.002856812
Brand D,63779,498,34.3,9,0.995,0.972,1,0.005627087
Brand A,30024,349,15.9,4,0.6225,0.236,0.375,0.008295697
Brand A,53227,451,26.9,4,0.8775,0.676,0.375,0.006082815
Brand Y,49842,412,14.5,3,0.78,0.18,0.25,0.00587356
Brand X,58314,222,12.5,8,0.305,0.1,0.875,0.00272919
Brand A,73887,407,10.5,4,0.7675,0.02,0.375,0.003898521
Brand Y,55940,408,26.3,3,0.77,0.652,0.25,0.005246514
Brand D,40672,188,28.1,9,0.22,0.724,1,0.003442909
Brand E,79349,426,18.7,2,0.815,0.348,0.125,0.003828782
Brand C,52431,398,18.8,6,0.745,0.352,0.625,0.00542122
Brand X,56322,225,14.3,8,0.3125,0.172,0.875,0.00287259
Brand C,31816,376,11.9,6,0.69,0.076,0.625,0.008384775
Brand B,98141,412,31.9,5,0.78,0.876,0.5,0.003036142
Brand B,97568,380,13.9,5,0.7,0.156,0.5,0.002769043
Brand X,62821,250,10.4,8,0.375,0.016,0.875,0.002835358
Brand A,47132,104,33.9,4,0.01,0.956,0.375,0.001760375
Brand E,68470,169,20.5,2,0.1725,0.42,0.125,0.001817584
Brand Y,45260,444,29.5,3,0.86,0.78,0.25,0.007062528
Brand D,49157,403,16.2,9,0.7575,0.248,1,0.005837622
Brand D,36278,475,18.2,9,0.9375,0.328,1,0.009315839
Brand X,74454,133,14.1,8,0.0825,0.164,0.875,0.00130725
Brand Z,65710,128,21,7,0.07,0.44,0.75,0.001459443
Brand X,52075,284,31.2,8,0.46,0.848,0.875,0.003997312
Brand Y,66531,381,11.1,3,0.7025,0.044,0.25,0.004058709
Brand A,46753,419,17.5,4,0.7975,0.3,0.375,0.006385686
Brand E,36102,308,15.1,2,0.52,0.204,0.125,0.006097446
Brand E,51627,269,22.9,2,0.4225,0.516,0.125,0.003780386
Brand W,83049,174,33.5,1,0.185,0.94,0,0.001587617
Brand E,45201,427,31.7,2,0.8175,0.868,0.125,0.006823079
Brand C,44911,166,32,6,0.165,0.88,0.625,0.002801095
Brand C,51087,117,33.4,6,0.0425,0.936,0.625,0.001799284
Brand A,77227,185,21.8,4,0.2125,0.472,0.375,0.00176156
Brand X,88092,428,14.2,8,0.82,0.168,0.875,0.003449348
Brand E,90663,140,26.3,2,0.1,0.652,0.125,0.001167952
Brand E,70215,176,28.3,2,0.19,0.732,0.125,0.001875525
Brand Z,43713,336,32.9,7,0.59,0.916,0.75,0.005606341
Brand X,79645,192,16,8,0.23,0.24,0.875,0.001747756
Brand Y,38803,420,25.6,3,0.8,0.624,0.25,0.007774657
Brand A,45787,228,27.9,4,0.32,0.716,0.375,0.003668509
Brand B,64143,347,25,5,0.6175,0.6,0.5,0.003903777
Brand Y,47139,194,31.4,3,0.235,0.856,0.25,0.003080676
Brand Z,46302,383,12.9,7,0.7075,0.116,0.75,0.005873828
Brand W,34830,315,33.2,1,0.5375,0.928,0,0.00661671
Brand Z,56555,200,31.1,7,0.25,0.844,0.75,0.002640439
Brand C,86313,387,14.4,6,0.7175,0.176,0.625,0.003188627
Brand Y,83440,252,14.7,3,0.38,0.188,0.25,0.002166946
Brand Z,44961,471,32.5,7,0.9275,0.9,0.75,0.007549877
Brand W,64475,357,31.2,1,0.6425,0.848,0,0.004021093
Brand B,63805,296,15.9,5,0.49,0.236,0.5,0.003322153
Brand E,71848,472,20.1,2,0.93,0.404,0.125,0.004682524
Brand D,35720,218,22.6,9,0.295,0.504,1,0.004461926
Brand X,57401,314,31.2,8,0.535,0.848,0.875,0.003992265
Brand Z,32510,207,34.3,7,0.2675,0.972,0.75,0.004773608
Brand E,83063,417,13.1,2,0.7925,0.124,0.125,0.003561514
Brand C,44528,239,16.3,6,0.3475,0.252,0.625,0.003867005
Brand D,31065,405,14.9,9,0.7625,0.196,1,0.009269918
Brand X,84752,397,31.2,8,0.7425,0.848,0.875,0.003389419
Brand Z,32209,422,32.5,7,0.805,0.9,0.75,0.00947406
Brand Y,51984,177,34.7,3,0.1925,0.988,0.25,0.00258368
Brand D,37992,342,26.2,9,0.605,0.648,1,0.006508212
Brand B,69943,274,15.8,5,0.435,0.232,0.5,0.002810002
Brand X,59626,265,23.7,8,0.4125,0.548,0.875,0.003230302
Brand E,31282,480,24.6,2,0.95,0.584,0.125,0.01097692
Brand W,76374,500,26.3,1,1,0.652,0,0.004686019
Brand B,36798,461,31.9,5,0.9025,0.876,0.5,0.009029567
Brand E,86743,178,21.9,2,0.195,0.476,0.125,0.001512168
Brand D,72522,272,12.5,9,0.43,0.1,1,0.002677119
Brand Y,59179,401,19.1,3,0.7525,0.364,0.25,0.004840062
Brand E,88828,317,16,2,0.5425,0.24,0.125,0.002552123
Brand W,34099,395,12.4,1,0.7375,0.096,0,0.008217836
Brand X,54533,181,15.7,8,0.2025,0.228,0.875,0.002409734
Brand A,70835,302,11.5,4,0.505,0.06,0.375,0.003033105
Brand D,96273,317,10.4,9,0.5425,0.016,1,0.002337312
Brand X,52627,431,28.5,8,0.8275,0.74,0.875,0.005895263
Brand D,60078,115,10.3,9,0.0375,0.012,1,0.001391358
Brand W,83011,349,28.7,1,0.6225,0.748,0,0.003046705
Brand C,51934,453,28,6,0.8825,0.72,0.625,0.00626757
Brand Z,83121,482,10.5,7,0.955,0.02,0.75,0.004097039
Brand X,76878,422,14.1,8,0.805,0.164,0.875,0.003897474
Brand C,93627,278,34.4,6,0.445,0.976,0.625,0.002188685
Brand A,91729,325,19.8,4,0.5625,0.392,0.375,0.002544888
Brand C,95216,146,18.4,6,0.115,0.336,0.625,0.001131322
Brand W,80362,114,20.3,1,0.035,0.412,0,0.001068789
Brand Z,59416,140,12.6,7,0.1,0.104,0.75,0.001713007
Brand D,48545,198,19.2,9,0.245,0.368,1,0.002973736
Brand W,60640,358,34.6,1,0.645,0.984,0,0.00430376
Brand Z,94823,233,30.6,7,0.3325,0.824,0.75,0.001816859
Brand Y,39046,500,21.6,3,1,0.464,0.25,0.009129744
Brand W,80807,283,32.1,1,0.4575,0.884,0,0.002570693
Brand D,44152,431,13.5,9,0.8275,0.14,1,0.006924941
Brand Z,52923,188,29.8,7,0.22,0.792,0.75,0.002655556
Brand B,49126,450,20.5,5,0.875,0.42,0.5,0.006537272
Brand A,79871,261,33.8,4,0.4025,0.952,0.375,0.002414393
Brand Y,64565,294,16.2,3,0.485,0.248,0.25,0.003262758
Brand X,96840,208,27.7,8,0.27,0.708,0.875,0.001589323
Brand D,59222,407,11.9,9,0.7675,0.076,1,0.004870994
Brand B,38150,354,10.4,5,0.635,0.016,0.5,0.006577195
Brand E,37538,160,23.2,2,0.15,0.528,0.125,0.003169055
Brand B,94784,134,18.1,5,0.085,0.324,0.5,0.001046907
Brand B,90681,376,15.8,5,0.69,0.232,0.5,0.002954753
Brand D,81189,457,21.2,9,0.8925,0.448,1,0.004018525
Brand B,33926,255,15.9,5,0.3875,0.236,0.5,0.005402052
Brand D,73434,438,31,9,0.845,0.84,1,0.004301822
Brand B,50046,318,16.7,5,0.545,0.268,0.5,0.004548016
Brand D,94527,183,14.8,9,0.2075,0.192,1,0.001402139
Brand W,94111,425,19.5,1,0.8125,0.38,0,0.003223321
Brand A,31181,451,13.4,4,0.8775,0.136,0.375,0.01025368
Brand Z,37351,176,12.8,7,0.19,0.112,0.75,0.003401248
Brand Y,86551,128,29.4,3,0.07,0.776,0.25,0.001137133
Brand Y,66206,349,12,3,0.6225,0.08,0.25,0.003744374
Brand A,71051,294,31.9,4,0.485,0.876,0.375,0.003031203
Brand C,48022,139,15.9,6,0.0975,0.236,0.625,0.002125484
Brand C,89476,339,30.3,6,0.5975,0.812,0.625,0.002753699
Brand E,98144,222,24.4,2,0.305,0.576,0.125,0.001657972
Brand Z,57238,117,21.3,7,0.0425,0.452,0.75,0.001542507
Brand E,93290,136,35,2,0.09,1,0.125,0.001133026
Brand W,60377,200,14.7,1,0.25,0.188,0,0.002391805
Brand Z,39260,210,17.7,7,0.275,0.308,0.75,0.003879521
Brand Z,34022,313,25.3,7,0.5325,0.612,0.75,0.006663042
Brand A,31662,203,22.5,4,0.2575,0.5,0.375,0.004701219
Brand D,32407,356,12.1,9,0.64,0.084,1,0.00780171
Brand C,92237,224,28,6,0.31,0.72,0.625,0.001791038
Brand A,54785,140,23.5,4,0.1,0.54,0.375,0.001917496
Brand W,34963,290,11.8,1,0.475,0.072,0,0.005907388
Brand A,54414,213,10.2,4,0.2825,0.008,0.375,0.002796339
Brand Z,87011,137,20.4,7,0.0925,0.416,0.75,0.001172495
Brand A,46033,476,17.1,4,0.94,0.284,0.375,0.007349727
Brand A,76676,371,28.2,4,0.6775,0.728,0.375,0.003497313
Brand E,40731,159,22.6,2,0.1475,0.504,0.125,0.00289902
Brand Y,43186,291,30.7,3,0.4775,0.828,0.25,0.00493007
Brand A,95882,253,11.5,4,0.3825,0.06,0.375,0.001883044
Brand W,34332,292,31.3,1,0.48,0.852,0,0.006227135
Brand W,53068,378,13.7,1,0.695,0.148,0,0.005063503
Brand A,68892,349,24.7,4,0.6225,0.588,0.375,0.00365369
Brand C,71916,431,12.9,6,0.8275,0.116,0.625,0.004248985
Brand E,88439,435,20.7,2,0.8375,0.428,0.125,0.003513269
Brand B,64747,447,11.3,5,0.8675,0.052,0.5,0.004885014
Brand W,86496,367,19.1,1,0.6675,0.364,0,0.003036325
Brand X,80716,349,13.6,8,0.6225,0.144,0.875,0.003077209
Brand B,55385,340,33.3,5,0.6,0.932,0.5,0.004477566
Brand D,59933,499,32.9,9,0.9975,0.916,1,0.005992859
Brand A,92412,275,25.5,4,0.4375,0.62,0.375,0.002165844
Brand C,98367,461,16.5,6,0.9025,0.26,0.625,0.003330893
Brand E,48129,130,29.4,2,0.075,0.776,0.125,0.002074009
Brand A,94547,183,24.2,4,0.2075,0.568,0.375,0.001431669
Brand W,95301,132,18.9,1,0.08,0.356,0,0.001029055
Brand Y,30001,465,21.2,3,0.9125,0.448,0.25,0.011061631
Brand D,36707,332,26.9,9,0.58,0.676,1,0.006551067
Brand D,33309,365,11.8,9,0.6625,0.072,1,0.007776877
Brand Y,36337,359,29.4,3,0.6475,0.776,0.25,0.007158544
Brand D,97053,304,21,9,0.51,0.44,1,0.002257529
Brand B,58528,234,10,5,0.335,0,0.5,0.002849918
Brand D,31838,431,26.1,9,0.8275,0.644,1,0.00972203
Brand C,75088,381,18.3,6,0.7025,0.332,0.625,0.003624947
Brand E,68508,231,28.1,2,0.3275,0.724,0.125,0.00248336
Brand D,57521,259,30.1,9,0.3975,0.804,1,0.003308878
Brand X,90593,474,34.1,8,0.935,0.964,0.875,0.003775457
Brand W,65049,189,27.6,1,0.2225,0.704,0,0.00216114
Brand B,44761,452,16.2,5,0.88,0.248,0.5,0.00717723
Brand E,94754,472,30.6,2,0.93,0.824,0.125,0.003583806
Brand X,41610,384,13.2,8,0.71,0.128,0.875,0.006555155
Brand B,96605,109,24.5,5,0.0225,0.58,0.5,0.000865897
Brand C,92009,361,28.4,6,0.6525,0.736,0.625,0.00283907
Brand A,49750,175,23.1,4,0.1875,0.524,0.375,0.002601608
Brand A,75846,375,12.5,4,0.6875,0.1,0.375,0.003510403
Brand D,78270,169,30.5,9,0.1725,0.82,1,0.001628338
Brand Z,52276,396,19.6,7,0.74,0.384,0.75,0.005415104
Brand X,66744,224,12.3,8,0.31,0.092,0.875,0.002404561
Brand A,48512,163,19.5,4,0.1575,0.38,0.375,0.002472584
Brand D,67754,244,20.1,9,0.36,0.404,1,0.002609883
Brand C,85226,452,11.3,6,0.88,0.052,0.625,0.003752259
Brand Y,44910,274,21.1,3,0.435,0.444,0.25,0.004411712
Brand E,91232,437,30.6,2,0.8425,0.824,0.125,0.003453613
Brand A,34537,246,25.4,4,0.365,0.616,0.375,0.00520659
Brand A,31600,482,29.1,4,0.955,0.764,0.375,0.010953481
Brand Y,52864,102,21.4,3,0.005,0.456,0.25,0.001472079
Brand E,66118,340,27.9,2,0.6,0.716,0.125,0.003726217
Brand B,98850,406,15.8,5,0.765,0.232,0.5,0.002923015
Brand C,49858,102,25.4,6,0.005,0.616,0.625,0.001584901
Brand E,49241,218,20.2,2,0.295,0.408,0.125,0.003222112
Brand C,59276,342,17.7,6,0.605,0.308,0.625,0.004128315
Brand C,50206,294,16.5,6,0.485,0.26,0.625,0.004197705
Brand C,32898,258,22.9,6,0.395,0.516,0.625,0.005698523
Brand Y,85356,335,24.6,3,0.5875,0.584,0.25,0.002833779
Brand X,64204,477,34.8,8,0.9425,0.992,0.875,0.005363217
Brand Y,34756,157,30.2,3,0.1425,0.808,0.25,0.003422718
Brand D,72671,169,26.5,9,0.1725,0.66,1,0.001737282
Brand Z,46419,275,31.6,7,0.4375,0.864,0.75,0.004351235
Brand X,78019,433,30,8,0.8325,0.8,0.875,0.004000308
Brand W,42693,299,28.5,1,0.4975,0.74,0,0.00510271
Brand W,65817,345,23.3,1,0.6125,0.532,0,0.003775468
Brand Y,55438,120,33.2,3,0.05,0.928,0.25,0.001694866
Brand W,72982,406,27.5,1,0.765,0.7,0,0.004007152
Brand B,85253,332,24.4,5,0.58,0.576,0.5,0.002811866
Brand W,55823,174,18.3,1,0.185,0.332,0,0.002280243
Brand C,75343,361,34.5,6,0.6525,0.98,0.625,0.003491366
Brand Z,99025,342,12,7,0.605,0.08,0.75,0.002453926
Brand A,83617,249,10.3,4,0.3725,0.012,0.375,0.002121459
Brand W,70713,271,19.8,1,0.4275,0.392,0,0.002766677
Brand Z,78792,301,17.7,7,0.5025,0.308,0.75,0.002741522
Brand D,71902,453,24.5,9,0.8825,0.58,1,0.004512392
Brand D,51423,100,10.2,9,0,0.008,1,0.001420765
Brand X,65501,269,25,8,0.4225,0.6,0.875,0.002989267
Brand Z,94683,407,30.4,7,0.7675,0.816,0.75,0.003105309
Brand B,56270,378,31.7,5,0.695,0.868,0.5,0.004871335
Brand B,83684,131,18.6,5,0.0775,0.344,0.5,0.001162468
Brand C,38896,431,34.1,6,0.8275,0.964,0.625,0.008019591
Brand Y,50761,184,16.8,3,0.21,0.272,0.25,0.00263667
Brand Y,33463,424,11.5,3,0.81,0.06,0.25,0.008972597
Brand W,88506,261,19.4,1,0.4025,0.376,0,0.002130025
Brand A,44379,170,26.8,4,0.175,0.672,0.375,0.002862615
Brand A,86056,100,18.3,4,0,0.332,0.375,0.000877219
Brand B,31436,114,27.4,5,0.035,0.696,0.5,0.002799975
Brand D,62879,128,14.3,9,0.07,0.172,1,0.001493185
Brand E,44018,476,24.1,2,0.94,0.564,0.125,0.007733882
Brand C,49594,175,24.6,6,0.1875,0.584,0.625,0.002618865
Brand Y,58403,198,26.3,3,0.245,0.652,0.25,0.002508262
Brand D,45321,436,19.5,9,0.84,0.38,1,0.006863264
Brand D,47666,270,20.7,9,0.425,0.428,1,0.004095372
Brand C,76017,132,22.9,6,0.08,0.516,0.625,0.001305892
Brand A,89863,340,29.7,4,0.6,0.788,0.375,0.002747627
Brand C,65121,400,29.1,6,0.75,0.764,0.625,0.004433746
Brand A,33376,472,11.2,4,0.93,0.048,0.375,0.01
Brand B,39241,346,10.8,5,0.615,0.032,0.5,0.006254683
Brand W,76602,180,29,1,0.2,0.76,0,0.00175844
Brand E,46762,131,33.4,2,0.0775,0.936,0.125,0.002175271
Brand A,78386,408,29,4,0.77,0.76,0.375,0.003754497
Brand W,54810,210,20,1,0.275,0.4,0,0.002791461
Brand E,36639,115,18.8,2,0.0375,0.352,0.125,0.002351047
Brand B,48905,484,20.7,5,0.96,0.428,0.5,0.007054698
Brand E,90904,497,16.1,2,0.9925,0.244,0.125,0.003880247
Brand W,99480,381,16.4,1,0.7025,0.256,0,0.002730398
Brand E,86931,226,17.3,2,0.315,0.292,0.125,0.001879537
Brand X,30973,329,33.9,8,0.5725,0.956,0.875,0.007763859
Brand C,45142,234,10.7,6,0.335,0.028,0.625,0.003699659
Brand Z,47384,293,15.8,7,0.4825,0.232,0.75,0.004428499
Brand Z,64485,378,25.5,7,0.695,0.62,0.75,0.004221912
Brand Z,97568,210,11.1,7,0.275,0.044,0.75,0.001540772
Brand C,66689,137,16.7,6,0.0925,0.268,0.625,0.001513143
Brand Z,71316,293,31.3,7,0.4825,0.852,0.75,0.0030076
Brand D,84341,152,16,9,0.13,0.24,1,0.001318457
Brand Y,64313,246,23.3,3,0.365,0.532,0.25,0.002786217
Brand Y,50237,470,11.6,3,0.925,0.064,0.25,0.00661823
Brand W,31847,167,11.7,1,0.1675,0.068,0,0.00378089
Brand X,98447,430,30,8,0.825,0.8,0.875,0.003148902
Brand D,91221,374,18.2,9,0.685,0.328,1,0.002929808
Brand B,66445,143,17.8,5,0.1075,0.312,0.5,0.001586876
Brand A,83235,321,14.7,4,0.5525,0.188,0.375,0.002752568
Brand Y,65593,153,22.9,3,0.1325,0.516,0.25,0.001737533
Brand Z,85764,195,25.3,7,0.2375,0.612,0.75,0.001680076
Brand D,78500,285,28.9,9,0.4625,0.756,1,0.002651847
Brand A,74535,223,15.3,4,0.3075,0.212,0.375,0.0021559
Brand D,31302,324,22,9,0.56,0.48,1,0.007456393
Brand E,92519,452,10.2,2,0.88,0.008,0.125,0.003452912
Brand Y,72976,479,13.8,3,0.9475,0.152,0.25,0.004651392
Brand Y,39822,396,19.7,3,0.74,0.388,0.25,0.007109387
Brand E,93107,386,27.4,2,0.715,0.696,0.125,0.002990323
Brand A,48612,206,17,4,0.265,0.28,0.375,0.003071258
Brand Y,88829,483,20.5,3,0.9575,0.42,0.25,0.003875424
Brand X,39856,323,23.2,8,0.5575,0.528,0.875,0.005847551
Brand W,78459,273,18,1,0.4325,0.32,0,0.002504493
Brand E,55791,310,16.4,2,0.525,0.256,0.125,0.003977702
Brand C,75063,387,19.6,6,0.7175,0.384,0.625,0.003687303
Brand A,56764,289,21.4,4,0.4725,0.456,0.375,0.003676978
Brand E,44259,190,16,2,0.225,0.24,0.125,0.003113491
Brand D,37382,316,18.3,9,0.54,0.332,1,0.006064149
Brand X,87028,153,26.1,8,0.1325,0.644,0.875,0.001320609
Brand D,30943,341,19.5,9,0.6025,0.38,1,0.007903241
Brand Z,61144,121,21,7,0.0525,0.44,0.75,0.00148829
Brand C,71918,337,27,6,0.5925,0.68,0.625,0.003392753
Brand D,77096,277,18.8,9,0.4425,0.352,1,0.002588202
